Date,Away Team,Home Odds,Draw Odds,Away Odds
20150206,1,2.71,3.75,2.31
20150206,21,3.07,3.77,2.08
20150206,14,3.47,3.94,1.9
20150206,10,2.26,3.69,2.81
20150206,11,2.15,3.71,2.98
20150205,28,2.21,3.68,2.91
20150205,27,2.54,3.67,2.49
20150205,25,2.64,3.71,2.38
20150205,7,2.55,3.76,2.44
20150205,10,2.2,3.76,2.86
20150205,29,2.81,3.64,2.29
20150205,19,3.01,3.75,2.12
20150205,14,4.85,4.29,1.59
20150205,12,2.65,3.72,2.37
20150204,28,2.46,3.65,2.59
20150204,1,3.88,4.2,1.75
20150204,24,2.41,3.7,2.6
20150203,27,1.71,4.08,4.18
20150203,3,2.03,3.63,3.31
20150203,9,2.04,3.87,3.14
20150203,21,3.05,3.66,2.13
20150203,11,1.8,4.1,3.73
20150203,7,2.03,3.93,3.13
20150203,16,1.44,4.65,6.24
20150203,17,2.0,3.76,3.29
20150203,18,2.31,3.65,2.77
20150203,15,1.65,4.22,4.43
20150203,29,2.3,3.69,2.75
20150202,2,1.53,4.54,5.04
20150202,3,2.46,3.71,2.56
20150202,15,1.76,4.04,3.93
20150201,8,2.14,3.69,3.02
20150201,22,2.01,3.83,3.2
20150201,17,1.64,4.19,4.53
20150201,14,2.96,3.82,2.12
20151231,21,2.4,3.72,2.6
20151231,2,1.77,4.04,3.86
20151231,20,1.69,4.15,4.26
20151231,29,2.17,3.64,2.98
20151231,15,2.81,3.64,2.32
20151231,27,1.67,4.18,4.35
20151231,11,1.91,3.9,3.46
20151231,5,2.19,3.76,2.88
20150131,17,1.95,3.86,3.35
20150131,12,2.33,3.72,2.69
20150131,19,2.3,3.62,2.79
20150130,21,2.54,3.67,2.49
20150130,16,1.46,4.58,6.04
20150130,22,2.36,3.74,2.66
20150130,14,2.79,3.68,2.27
20150130,1,2.83,3.66,2.25
20150129,10,2.54,3.56,2.53
20150129,16,1.87,3.81,3.66
20150129,8,2.33,3.72,2.69
20150129,22,1.92,3.85,3.41
20150129,20,2.04,3.81,3.17
20150129,5,2.56,3.71,2.44
20150129,25,2.06,3.79,3.11
20150129,17,2.04,3.83,3.13
20150129,24,2.21,3.75,2.86
20150129,13,2.1,3.72,3.09
20150129,3,2.6,3.7,2.4
20150128,21,2.65,3.65,2.4
20150128,1,2.29,3.75,2.74
20150128,11,2.25,3.63,2.87
20150127,10,2.66,3.67,2.39
20150127,8,3.13,3.86,2.04
20150127,16,1.58,4.35,4.8
20150127,9,1.88,3.94,3.51
20150127,7,3.1,3.79,2.07
20150127,25,2.77,3.6,2.33
20150127,5,2.04,3.85,3.13
20150127,19,3.04,3.8,2.09
20150127,0,2.32,3.7,2.71
20150127,17,1.94,3.92,3.36
20150127,3,2.47,3.63,2.58
20150121,29,2.38,3.64,2.67
20150121,23,1.8,3.99,3.77
20150121,24,2.58,3.7,2.44
20150121,20,1.92,3.86,3.47
20150121,21,2.74,3.73,2.3
20150121,11,2.17,3.81,2.88
20150120,17,1.51,4.64,5.16
20150120,24,2.59,3.69,2.43
20150120,8,1.89,3.94,3.5
20150120,22,2.21,3.75,2.86
20150120,1,3.34,3.85,1.96
20150120,26,1.94,3.85,3.42
20150120,18,1.89,3.83,3.6
20150120,2,1.63,4.3,4.5
20150119,23,1.83,3.93,3.63
20150119,6,1.78,3.95,3.93
20150119,20,1.89,3.87,3.47
20150119,9,1.75,4.1,3.97
20150119,26,2.75,3.63,2.33
20150119,27,2.08,3.79,3.07
20150119,4,1.74,4.12,3.97
20150118,16,1.48,4.58,5.73
20150118,17,1.7,4.13,4.21
20150118,5,1.64,4.28,4.46
20150118,0,2.17,3.73,2.93
20150117,10,2.13,3.73,2.99
20150117,23,1.93,3.83,3.44
20150117,17,1.8,3.95,3.82
20150117,19,2.04,3.8,3.18
20150117,20,1.62,4.22,4.65
20150117,4,3.55,3.88,1.89
20150117,22,2.09,3.72,3.09
20150117,2,1.82,3.91,3.8
20150117,12,2.34,3.76,2.67
20150117,27,1.92,3.81,3.5
20150117,11,1.7,4.15,4.14
20150117,9,1.81,3.97,3.78
20150116,6,1.77,4.05,3.88
20150116,3,1.67,4.25,4.26
20150116,19,2.31,3.68,2.74
20150116,26,2.51,3.66,2.52
20150116,0,3.01,3.72,2.13
20150116,1,2.33,3.79,2.65
20150115,11,1.76,4.14,3.87
20150115,23,2.58,3.7,2.43
20150115,3,2.24,3.78,2.79
20150115,25,1.9,3.87,3.52
20150115,9,2.13,3.71,3.0
20150115,13,2.35,3.75,2.65
20150115,2,1.61,4.35,4.56
20150115,0,2.16,3.66,3.01
20150115,8,3.57,3.84,1.9
20150115,26,2.91,3.81,2.16
20150114,6,1.7,4.1,4.2
20150114,11,1.87,3.98,3.52
20150114,4,1.86,3.97,3.58
20150114,13,2.93,3.69,2.2
20150113,28,3.03,3.78,2.1
20150113,18,2.05,3.87,3.1
20150113,26,2.03,3.76,3.2
20150113,2,1.55,4.51,4.91
20150113,15,2.22,3.69,2.86
20150113,7,2.02,3.87,3.13
20150113,25,4.04,3.98,1.76
20150113,9,2.16,3.76,2.95
20150113,12,2.18,3.78,2.9
20150113,8,1.78,4.11,3.82
20150112,11,1.9,3.97,3.44
20150112,7,3.1,3.87,2.05
20150112,9,1.92,3.94,3.39
20150111,3,1.76,4.1,3.91
20150111,8,1.64,4.29,4.37
20150111,15,2.79,3.64,2.3
20150110,3,1.91,3.86,3.58
20150110,0,2.45,3.64,2.62
20150110,23,1.84,3.99,3.71
20150110,27,1.68,4.21,4.35
20150110,18,2.39,3.76,2.62
20150110,12,2.69,3.75,2.36
20150110,1,2.44,3.64,2.64
20150110,25,2.27,3.75,2.81
20150110,5,2.37,3.76,2.65
20150110,22,2.62,3.61,2.47
20150110,24,2.6,3.69,2.46
20150109,21,3.85,4.1,1.78
20150109,15,2.02,3.79,3.31
20150109,16,1.41,5.06,6.51
20150109,20,2.17,3.86,2.89
20150109,12,3.37,3.8,1.97
20150108,0,2.01,3.74,3.34
20150108,15,2.04,3.8,3.21
20150108,3,2.63,3.63,2.46
20150108,18,2.22,3.76,2.86
20150108,21,3.39,3.91,1.93
20150108,5,2.01,3.89,3.24
20150108,28,1.92,3.9,3.49
20150108,6,1.94,3.84,3.47
20150108,16,1.76,4.01,4.04
20150108,19,2.44,3.74,2.61
20150107,0,2.37,3.74,2.69
20150107,25,2.37,3.69,2.69
20150107,24,2.1,3.71,3.14
20150107,19,2.74,3.74,2.31
