team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playoffGame
OTT,2015,OTT,2015020995,18,27,1,20160308,Team Level,all,0.5204,0.4385,0.4646,3900.0,33.666,4.04,2.213,6.717,1.068,17.515,14.446,3.983,4.23,4.168,24.0,22.0,11.0,57.0,3.0,1.0,0.0,4.0,2.0,15.0,21.0,21.0,43.0,5.0,13.0,23.0,32.0,10.0,6.0,27.0,17.0,2.0,1.029,2.114,0.897,0.0,3.0,0.0,60.304,46.0,48.672,2.0,0.488,0.172,0.172,4.356,4.565,4.525,37.68,3.723,2.566,8.086,1.312,21.935,15.378,3.693,3.552,3.524,37.0,16.0,20.0,73.0,3.0,2.0,1.0,8.0,2.0,20.0,18.0,34.0,50.0,4.0,11.0,33.0,26.0,10.0,11.0,37.0,13.0,3.0,1.322,1.537,0.864,0.0,1.0,2.0,69.065,53.0,50.113,2.0,0.558,0.626,0.626,3.655,3.507,3.489,0
CBJ,2015,CBJ,2015020996,20,25,0,20160308,Team Level,all,0.5812,0.408,0.413,3600.0,27.489,4.332,1.922,6.096,0.961,13.936,10.754,4.216,4.272,4.159,32.0,6.0,13.0,51.0,5.0,4.0,0.0,6.0,4.0,10.0,9.0,27.0,33.0,8.0,19.0,30.0,24.0,3.0,5.0,20.0,10.0,8.0,0.624,1.177,2.531,1.0,1.0,3.0,51.134,38.0,37.949,0.0,0.435,0.851,0.851,3.916,3.868,3.772,38.795,3.122,2.769,9.361,1.378,23.025,14.344,3.05,3.157,3.085,35.0,19.0,20.0,74.0,3.0,4.0,0.0,6.0,4.0,19.0,18.0,32.0,51.0,8.0,19.0,33.0,20.0,4.0,3.0,43.0,9.0,2.0,1.186,1.081,0.856,0.0,1.0,2.0,73.687,54.0,53.684,2.0,0.683,0.148,0.148,3.658,3.699,3.617,0
DAL,2015,DAL,2015020997,5,13,1,20160308,Team Level,all,0.5479,0.5126,0.5309,3719.0,31.95,2.617,1.949,7.768,0.988,16.655,13.022,2.532,2.719,2.629,33.0,10.0,18.0,61.0,3.0,3.0,0.0,10.0,0.0,14.0,13.0,30.0,40.0,2.0,4.0,34.0,25.0,8.0,9.0,36.0,3.0,4.0,0.916,0.382,1.318,1.0,0.0,2.0,63.297,43.0,44.284,7.0,0.459,0.855,0.855,2.221,2.315,2.302,27.697,2.159,1.736,7.487,0.932,14.401,11.284,2.093,2.084,2.019,28.0,10.0,20.0,58.0,4.0,1.0,1.0,6.0,0.0,16.0,11.0,24.0,34.0,3.0,6.0,30.0,40.0,3.0,17.0,30.0,5.0,3.0,0.708,0.643,0.808,1.0,1.0,2.0,56.402,38.0,37.001,15.0,0.378,0.262,0.262,2.275,2.187,2.155,0
T.B,2015,T.B,2015020998,7,24,0,20160308,Team Level,all,0.5387,0.6379,0.6196,3610.0,38.613,2.281,2.675,9.779,1.432,24.352,16.481,2.238,2.208,2.166,42.0,15.0,17.0,74.0,0.0,1.0,0.0,12.0,2.0,22.0,20.0,42.0,57.0,1.0,2.0,24.0,18.0,4.0,8.0,47.0,10.0,0.0,1.224,1.058,0.0,0.0,0.0,0.0,72.2,57.0,55.646,3.0,0.569,0.047,0.059,2.791,2.703,2.655,25.391,1.953,1.669,5.952,0.937,13.364,11.125,1.909,2.037,1.992,33.0,2.0,7.0,42.0,1.0,0.0,0.0,7.0,2.0,10.0,15.0,32.0,34.0,5.0,10.0,27.0,30.0,5.0,5.0,25.0,10.0,0.0,0.755,1.197,0.0,0.0,1.0,0.0,43.216,35.0,35.976,3.0,0.352,0.0,0.029,2.275,2.374,2.322,0
WPG,2015,WPG,2015020999,3,22,0,20160308,Team Level,all,0.419,0.5268,0.4675,3600.0,27.643,3.837,2.088,5.979,0.803,13.834,9.46,3.632,3.692,3.497,23.0,13.0,23.0,59.0,2.0,5.0,2.0,6.0,0.0,11.0,12.0,21.0,34.0,5.0,10.0,29.0,34.0,5.0,5.0,19.0,10.0,7.0,0.676,0.995,2.166,0.0,0.0,2.0,57.373,36.0,35.156,3.0,0.465,1.551,1.551,2.751,2.66,2.61,31.221,5.321,2.204,5.799,0.885,14.392,12.399,4.775,5.481,4.935,31.0,10.0,12.0,53.0,4.0,2.0,0.0,6.0,2.0,15.0,12.0,27.0,37.0,4.0,16.0,28.0,22.0,8.0,7.0,22.0,11.0,8.0,0.585,1.408,3.328,2.0,1.0,1.0,55.643,41.0,43.03,6.0,0.529,1.103,1.103,4.747,4.93,4.687,0
EDM,2015,EDM,2015021000,2,28,0,20160308,Team Level,all,0.5057,0.5714,0.5867,3600.0,31.49,2.09,2.115,7.495,1.002,18.02,13.279,2.053,1.884,1.851,31.0,13.0,16.0,60.0,0.0,0.0,0.0,9.0,2.0,15.0,18.0,31.0,44.0,3.0,9.0,28.0,19.0,9.0,9.0,35.0,9.0,0.0,1.045,1.044,0.0,0.0,0.0,0.0,53.413,44.0,39.613,6.0,0.442,0.0,0.0,2.531,2.285,2.247,21.453,2.043,1.301,4.892,0.729,12.285,9.75,1.974,2.257,2.178,22.0,9.0,14.0,45.0,3.0,3.0,1.0,9.0,0.0,10.0,6.0,19.0,28.0,3.0,9.0,29.0,15.0,8.0,6.0,22.0,7.0,2.0,0.595,0.777,0.671,0.0,2.0,1.0,51.593,31.0,34.922,5.0,0.278,0.64,0.64,1.681,1.839,1.82,0
TOR,2015,TOR,2015021001,11,12,0,20160309,Team Level,all,0.5938,0.5752,0.5778,3900.0,39.062,4.377,3.411,7.862,1.224,21.225,13.9,4.233,4.256,4.114,36.0,16.0,13.0,65.0,3.0,2.0,0.0,10.0,1.0,17.0,19.0,33.0,49.0,2.0,4.0,32.0,22.0,7.0,6.0,29.0,19.0,4.0,0.982,2.484,0.911,0.0,1.0,2.0,63.401,52.0,50.924,3.0,0.77,0.27,0.27,4.877,4.746,4.606,28.496,2.994,2.142,6.154,0.9,14.657,11.154,2.906,3.148,3.052,27.0,11.0,10.0,48.0,3.0,1.0,1.0,10.0,1.0,8.0,15.0,24.0,35.0,4.0,10.0,34.0,26.0,11.0,7.0,25.0,10.0,3.0,0.767,1.457,0.769,0.0,2.0,1.0,49.656,38.0,39.254,4.0,0.474,0.227,0.227,3.241,3.396,3.371,0
STL,2015,STL,2015021002,14,21,0,20160309,Team Level,all,0.5111,0.547,0.5,3900.0,33.791,2.77,2.316,7.487,1.014,17.662,14.752,2.711,2.662,2.606,30.0,16.0,18.0,64.0,2.0,2.0,0.0,8.0,1.0,17.0,16.0,28.0,44.0,3.0,9.0,30.0,34.0,7.0,3.0,34.0,11.0,1.0,1.083,1.343,0.344,0.0,2.0,0.0,61.216,46.0,43.992,2.0,0.507,0.372,0.372,2.904,2.777,2.727,33.483,2.65,2.605,7.776,1.154,18.554,13.261,2.579,2.745,2.672,35.0,11.0,7.0,53.0,2.0,5.0,0.0,9.0,2.0,16.0,12.0,33.0,44.0,2.0,4.0,29.0,12.0,6.0,4.0,39.0,4.0,3.0,1.105,0.558,0.988,1.0,0.0,1.0,54.822,46.0,47.227,2.0,0.61,0.862,0.862,2.399,2.475,2.439,0
NSH,2015,NSH,2015021003,22,23,1,20160309,Team Level,all,0.3392,0.5085,0.4405,3672.0,26.648,1.65,1.97,6.161,0.838,15.337,11.044,1.611,1.653,1.613,26.0,11.0,23.0,60.0,2.0,4.0,0.0,9.0,0.0,10.0,12.0,24.0,35.0,4.0,8.0,25.0,17.0,6.0,4.0,32.0,5.0,0.0,1.035,0.616,0.0,1.0,1.0,0.0,58.569,37.0,36.186,1.0,0.456,0.232,0.232,1.874,1.878,1.848,33.489,3.214,2.583,7.726,1.061,18.633,13.782,3.095,3.208,3.089,34.0,13.0,11.0,58.0,3.0,3.0,0.0,7.0,1.0,16.0,17.0,31.0,44.0,2.0,4.0,30.0,17.0,11.0,10.0,31.0,14.0,2.0,0.921,1.748,0.546,1.0,2.0,0.0,59.226,47.0,47.741,5.0,0.557,0.701,0.701,3.071,3.065,2.973,0
COL,2015,COL,2015021004,9,10,0,20160309,Team Level,all,0.3372,0.359,0.3529,3600.0,22.602,1.898,1.499,4.245,0.634,11.516,10.209,1.857,1.895,1.854,26.0,4.0,12.0,42.0,3.0,0.0,0.0,9.0,0.0,9.0,9.0,23.0,27.0,5.0,10.0,23.0,26.0,13.0,4.0,19.0,11.0,0.0,0.56,1.338,0.0,0.0,3.0,0.0,43.56,30.0,30.761,3.0,0.318,0.0,0.0,2.217,2.213,2.168,39.899,3.73,2.568,8.663,1.24,21.531,17.269,3.629,3.697,3.598,37.0,18.0,20.0,75.0,0.0,5.0,0.0,9.0,0.0,17.0,24.0,37.0,55.0,4.0,8.0,30.0,20.0,10.0,3.0,39.0,12.0,4.0,0.991,1.411,1.328,0.0,0.0,0.0,71.924,55.0,53.707,1.0,0.55,0.774,0.774,3.506,3.486,3.428,0
ARI,2015,ARI,2015021005,17,26,1,20160309,Team Level,all,0.4852,0.5,0.5294,3702.0,32.828,2.511,1.891,7.421,1.026,17.349,14.802,2.502,2.615,2.605,34.0,11.0,11.0,56.0,2.0,0.0,0.0,13.0,0.0,11.0,19.0,32.0,43.0,4.0,8.0,51.0,17.0,7.0,11.0,35.0,7.0,3.0,0.683,0.872,0.957,1.0,0.0,1.0,59.248,45.0,47.417,10.0,0.406,0.0,0.0,2.918,3.044,3.03,29.411,2.664,1.976,6.59,0.96,16.496,11.314,2.525,2.575,2.439,31.0,9.0,16.0,56.0,3.0,2.0,1.0,6.0,1.0,16.0,12.0,28.0,37.0,1.0,2.0,20.0,22.0,5.0,15.0,33.0,4.0,3.0,1.208,0.574,0.883,1.0,2.0,0.0,54.497,40.0,39.089,12.0,0.436,0.491,0.859,2.241,2.171,2.106,0
WSH,2015,WSH,2015021006,19,29,1,20160309,Team Level,all,0.5652,0.531,0.5,3770.0,32.968,4.147,2.438,7.68,1.167,16.63,12.939,3.825,4.089,3.771,32.0,13.0,15.0,60.0,3.0,7.0,2.0,9.0,2.0,11.0,13.0,29.0,42.0,6.0,18.0,29.0,34.0,1.0,8.0,30.0,10.0,5.0,1.06,1.31,1.776,0.0,1.0,2.0,56.336,45.0,43.486,4.0,0.545,2.141,2.141,2.551,2.512,2.458,31.846,3.19,2.249,7.266,1.057,18.939,12.299,3.089,3.196,3.094,30.0,15.0,8.0,53.0,4.0,3.0,0.0,4.0,3.0,15.0,16.0,26.0,41.0,4.0,14.0,37.0,44.0,5.0,11.0,29.0,13.0,3.0,0.932,1.413,0.845,1.0,2.0,1.0,55.854,45.0,46.041,8.0,0.505,0.7,0.7,2.996,3.021,2.952,0
BOS,2015,BOS,2015021007,24,27,0,20160310,Team Level,all,0.3534,0.4775,0.5181,3690.0,30.779,1.78,1.982,6.966,0.944,18.256,13.072,1.75,1.678,1.65,32.0,11.0,10.0,53.0,2.0,0.0,0.0,11.0,1.0,13.0,16.0,30.0,41.0,3.0,6.0,25.0,19.0,9.0,16.0,38.0,5.0,0.0,1.235,0.545,0.0,1.0,1.0,0.0,50.16,43.0,40.784,6.0,0.416,0.0,0.0,2.196,2.071,2.037,30.793,3.257,2.214,6.304,1.039,15.294,11.892,3.097,3.412,3.247,28.0,12.0,18.0,58.0,3.0,3.0,2.0,4.0,4.0,11.0,15.0,25.0,37.0,2.0,4.0,33.0,17.0,9.0,10.0,29.0,6.0,5.0,0.734,0.68,1.842,0.0,0.0,3.0,61.048,40.0,41.732,4.0,0.52,1.04,1.04,2.737,2.852,2.817,0
MTL,2015,MTL,2015021008,13,16,0,20160310,Team Level,all,0.6058,0.4929,0.5048,3600.0,36.352,4.068,2.639,8.85,1.364,21.422,14.657,3.661,4.01,3.604,34.0,19.0,16.0,69.0,3.0,5.0,2.0,11.0,3.0,20.0,11.0,31.0,50.0,4.0,14.0,38.0,36.0,7.0,11.0,34.0,14.0,5.0,0.79,1.51,1.768,1.0,1.0,1.0,67.837,53.0,52.283,11.0,0.595,0.814,0.814,3.85,3.785,3.548,36.24,2.647,2.428,8.996,1.201,20.493,16.235,2.43,2.715,2.498,38.0,14.0,19.0,71.0,2.0,2.0,0.0,10.0,0.0,21.0,17.0,36.0,50.0,6.0,18.0,38.0,38.0,3.0,9.0,42.0,8.0,2.0,0.958,0.932,0.757,0.0,2.0,0.0,72.14,52.0,52.73,8.0,0.546,0.757,0.757,2.435,2.517,2.408,0
WPG,2015,WPG,2015021009,3,25,1,20160310,Team Level,all,0.3867,0.3725,0.4054,3600.0,21.718,1.375,1.574,5.455,0.72,11.748,9.128,1.369,1.43,1.424,25.0,5.0,8.0,38.0,2.0,2.0,0.0,4.0,0.0,9.0,13.0,23.0,28.0,5.0,10.0,24.0,23.0,6.0,6.0,25.0,5.0,0.0,0.793,0.582,0.0,0.0,2.0,0.0,38.978,30.0,30.621,3.0,0.363,0.042,0.042,1.696,1.76,1.753,31.093,2.181,2.177,7.914,1.075,18.01,12.643,2.087,2.106,2.012,35.0,9.0,20.0,64.0,3.0,3.0,0.0,12.0,1.0,12.0,13.0,32.0,41.0,6.0,12.0,37.0,24.0,1.0,10.0,37.0,6.0,1.0,1.235,0.686,0.26,2.0,1.0,0.0,61.256,44.0,42.208,6.0,0.476,0.46,0.46,2.197,2.11,2.06,0
FLA,2015,FLA,2015021010,15,18,0,20160310,Team Level,all,0.5587,0.4444,0.4684,3600.0,27.77,3.093,1.842,6.08,0.826,14.161,10.998,2.949,3.096,2.951,31.0,6.0,7.0,44.0,6.0,2.0,1.0,6.0,0.0,10.0,13.0,25.0,31.0,3.0,6.0,43.0,29.0,15.0,10.0,18.0,17.0,2.0,0.573,2.042,0.478,0.0,5.0,1.0,45.06,37.0,37.593,1.0,0.394,0.478,0.478,3.008,3.006,2.984,30.018,2.443,2.089,6.504,0.969,16.918,13.077,2.406,2.464,2.428,28.0,14.0,13.0,55.0,2.0,1.0,0.0,10.0,0.0,11.0,18.0,26.0,40.0,3.0,6.0,27.0,18.0,8.0,9.0,31.0,10.0,1.0,0.881,1.34,0.222,1.0,0.0,1.0,53.693,42.0,41.589,3.0,0.435,0.19,0.19,2.688,2.718,2.688,0
EDM,2015,EDM,2015021011,2,8,1,20160310,Team Level,all,0.4716,0.4595,0.4615,3600.0,26.263,2.69,1.857,5.465,0.762,14.374,10.852,2.648,2.829,2.784,25.0,11.0,15.0,51.0,2.0,2.0,1.0,4.0,1.0,7.0,20.0,23.0,34.0,4.0,8.0,15.0,15.0,3.0,4.0,26.0,8.0,2.0,0.746,1.101,0.843,0.0,2.0,0.0,53.441,36.0,37.714,3.0,0.387,0.544,0.544,2.534,2.658,2.653,30.65,3.014,2.474,6.772,0.959,16.523,12.259,2.942,2.889,2.819,30.0,12.0,18.0,60.0,1.0,3.0,0.0,12.0,4.0,7.0,15.0,29.0,41.0,2.0,4.0,40.0,9.0,8.0,11.0,23.0,19.0,0.0,0.934,2.08,0.0,1.0,0.0,0.0,57.39,42.0,40.121,4.0,0.548,0.33,0.33,3.231,3.105,3.042,0
N.J,2015,N.J,2015021012,6,28,1,20160310,Team Level,all,0.4289,0.3558,0.3492,3600.0,15.863,1.853,0.949,4.022,0.512,8.384,6.28,1.747,1.966,1.847,16.0,6.0,15.0,37.0,3.0,1.0,0.0,3.0,1.0,6.0,8.0,13.0,19.0,3.0,6.0,31.0,21.0,6.0,8.0,18.0,1.0,3.0,0.33,0.131,1.392,1.0,1.0,1.0,39.691,22.0,23.406,5.0,0.202,0.313,0.313,1.742,1.831,1.824,28.859,2.467,2.214,6.179,0.904,17.286,11.95,2.285,2.367,2.187,30.0,11.0,26.0,67.0,0.0,2.0,0.0,7.0,0.0,21.0,11.0,30.0,41.0,1.0,2.0,26.0,20.0,11.0,19.0,27.0,12.0,2.0,0.74,1.167,0.56,0.0,0.0,0.0,63.451,41.0,38.776,9.0,0.482,0.298,0.298,2.651,2.53,2.396,0
PIT,2015,PIT,2015021013,1,20,1,20160311,Team Level,all,0.6097,0.5872,0.6098,3600.0,33.715,3.207,2.336,7.864,1.19,19.429,15.975,2.976,3.339,3.105,31.0,19.0,14.0,64.0,3.0,2.0,1.0,3.0,4.0,17.0,21.0,28.0,47.0,4.0,8.0,29.0,13.0,1.0,2.0,41.0,6.0,3.0,1.114,0.654,1.439,1.0,1.0,1.0,67.878,50.0,52.741,1.0,0.506,0.21,0.21,3.503,3.649,3.421,22.416,2.053,1.626,5.306,0.73,12.235,10.05,2.019,1.997,1.963,27.0,5.0,13.0,45.0,2.0,2.0,0.0,5.0,2.0,10.0,11.0,25.0,30.0,5.0,10.0,34.0,26.0,3.0,4.0,26.0,3.0,3.0,0.757,0.405,0.891,0.0,0.0,2.0,43.436,32.0,31.144,3.0,0.345,0.338,0.338,2.06,1.993,1.98,0
PHI,2015,PHI,2015021014,4,7,1,20160311,Team Level,all,0.6564,0.4505,0.5238,3600.0,22.903,2.997,1.597,4.872,0.733,12.385,10.415,2.715,3.132,2.848,23.0,10.0,8.0,41.0,3.0,3.0,2.0,3.0,0.0,7.0,17.0,20.0,30.0,2.0,4.0,22.0,17.0,6.0,3.0,25.0,3.0,5.0,0.547,0.391,2.06,0.0,0.0,3.0,46.487,33.0,36.641,1.0,0.387,1.09,1.09,2.294,2.425,2.407,21.694,1.569,1.462,5.27,0.676,12.138,8.885,1.555,1.446,1.434,19.0,11.0,20.0,50.0,1.0,1.0,0.0,4.0,0.0,10.0,14.0,18.0,29.0,4.0,8.0,21.0,25.0,3.0,14.0,23.0,6.0,1.0,0.601,0.729,0.239,0.0,1.0,0.0,45.153,30.0,27.508,7.0,0.316,0.179,0.179,1.706,1.581,1.576,0
ANA,2015,ANA,2015021015,10,14,1,20160311,Team Level,all,0.524,0.5385,0.5588,3600.0,27.985,3.073,1.92,6.372,0.837,15.4,10.397,2.981,3.132,3.037,29.0,9.0,11.0,49.0,2.0,5.0,2.0,8.0,1.0,10.0,12.0,27.0,36.0,4.0,8.0,17.0,16.0,3.0,4.0,28.0,6.0,4.0,0.691,0.641,1.742,0.0,0.0,2.0,49.035,38.0,38.216,3.0,0.451,1.878,1.878,1.646,1.677,1.652,21.141,2.792,1.644,4.467,0.646,12.4,8.051,2.777,2.765,2.75,23.0,7.0,12.0,42.0,5.0,1.0,0.0,5.0,0.0,7.0,12.0,18.0,25.0,3.0,6.0,35.0,20.0,11.0,3.0,20.0,8.0,2.0,0.721,1.072,0.998,0.0,3.0,2.0,41.982,30.0,29.882,2.0,0.362,0.031,0.031,3.123,3.091,3.072,0
DAL,2015,DAL,2015021016,5,21,0,20160311,Team Level,all,0.5759,0.4602,0.5513,3600.0,32.27,3.255,2.467,7.689,0.994,16.801,11.794,3.131,3.293,3.166,31.0,12.0,9.0,52.0,5.0,2.0,1.0,7.0,0.0,17.0,12.0,26.0,38.0,5.0,10.0,28.0,20.0,10.0,10.0,31.0,10.0,2.0,1.127,1.484,0.645,2.0,1.0,2.0,54.09,43.0,43.778,6.0,0.563,0.467,0.467,3.352,3.383,3.304,26.079,2.397,1.733,5.453,0.769,15.199,9.449,2.36,2.381,2.345,23.0,12.0,26.0,61.0,2.0,1.0,0.0,2.0,2.0,15.0,13.0,21.0,33.0,6.0,12.0,35.0,7.0,3.0,12.0,27.0,6.0,2.0,0.745,0.664,0.987,0.0,2.0,0.0,58.362,35.0,34.136,3.0,0.412,0.007,0.007,2.802,2.783,2.729,0
ARI,2015,ARI,2015021017,17,23,1,20160311,Team Level,all,0.6537,0.5213,0.5294,3600.0,27.248,3.483,1.745,6.132,0.798,13.512,10.331,3.457,3.571,3.542,26.0,10.0,13.0,49.0,4.0,1.0,1.0,5.0,0.0,11.0,15.0,22.0,32.0,3.0,6.0,33.0,20.0,4.0,7.0,25.0,7.0,4.0,0.625,0.839,2.019,0.0,1.0,3.0,50.125,36.0,36.972,4.0,0.377,0.165,0.165,3.696,3.78,3.759,23.512,1.845,1.575,5.096,0.691,13.114,9.679,1.829,1.802,1.786,25.0,7.0,13.0,45.0,1.0,0.0,0.0,7.0,0.0,10.0,14.0,24.0,31.0,4.0,8.0,32.0,29.0,10.0,18.0,23.0,8.0,1.0,0.626,1.014,0.205,0.0,0.0,1.0,43.722,32.0,31.081,10.0,0.356,0.0,0.0,2.201,2.147,2.127,0
NYI,2015,NYI,2015021018,12,24,1,20160312,Team Level,all,0.4634,0.479,0.4762,3600.0,27.826,2.144,1.738,6.253,0.835,15.545,13.486,2.126,2.2,2.181,26.0,14.0,17.0,57.0,1.0,1.0,0.0,4.0,2.0,14.0,18.0,25.0,39.0,2.0,4.0,30.0,38.0,10.0,19.0,28.0,12.0,0.0,0.558,1.586,0.0,0.0,1.0,0.0,57.517,40.0,40.075,12.0,0.386,0.189,0.189,2.341,2.397,2.376,31.716,2.483,2.194,7.843,1.048,18.098,12.335,2.467,2.436,2.421,31.0,13.0,18.0,62.0,3.0,0.0,0.0,10.0,0.0,10.0,21.0,28.0,41.0,1.0,2.0,30.0,26.0,9.0,13.0,33.0,10.0,1.0,1.015,1.225,0.243,1.0,1.0,1.0,61.708,44.0,44.11,2.0,0.463,0.0,0.0,2.946,2.89,2.871,0
NYR,2015,NYR,2015021019,0,25,1,20160312,Team Level,all,0.427,0.3689,0.3838,3783.0,29.084,3.628,1.84,6.377,0.89,13.865,11.4,3.503,3.788,3.652,25.0,13.0,7.0,45.0,2.0,3.0,1.0,5.0,2.0,10.0,16.0,23.0,36.0,5.0,10.0,21.0,20.0,4.0,3.0,27.0,6.0,5.0,0.698,0.942,1.988,0.0,0.0,2.0,47.032,38.0,39.61,2.0,0.427,0.857,0.857,3.198,3.307,3.288,45.59,4.868,3.446,9.99,1.609,24.032,17.054,4.712,4.698,4.547,43.0,18.0,16.0,77.0,3.0,6.0,0.0,11.0,2.0,19.0,20.0,40.0,58.0,4.0,8.0,41.0,20.0,3.0,11.0,34.0,22.0,5.0,1.201,2.413,1.255,0.0,2.0,1.0,74.47,61.0,59.104,3.0,0.764,1.248,1.248,4.384,4.247,4.14,0
BUF,2015,BUF,2015021020,16,27,0,20160312,Team Level,all,0.3339,0.4206,0.4103,3899.0,22.648,1.804,1.624,4.879,0.894,13.099,9.699,1.797,1.761,1.754,24.0,8.0,13.0,45.0,3.0,0.0,0.0,7.0,1.0,7.0,14.0,21.0,29.0,3.0,6.0,24.0,17.0,5.0,5.0,24.0,8.0,0.0,0.883,0.922,0.0,0.0,3.0,0.0,44.268,32.0,31.405,2.0,0.352,0.0,0.0,2.157,2.103,2.094,33.512,3.599,2.279,7.644,1.047,17.981,13.449,3.39,3.732,3.512,30.0,16.0,16.0,62.0,2.0,3.0,0.0,12.0,1.0,13.0,15.0,28.0,44.0,3.0,6.0,42.0,10.0,6.0,4.0,32.0,9.0,5.0,0.817,0.991,1.791,0.0,1.0,1.0,63.642,46.0,47.236,0.0,0.499,0.908,0.908,3.191,3.299,3.244,0
MIN,2015,MIN,2015021021,8,13,1,20160312,Team Level,all,0.496,0.4299,0.4143,3600.0,20.732,2.493,1.146,5.195,0.675,11.277,8.213,2.478,2.576,2.559,22.0,7.0,17.0,46.0,4.0,2.0,1.0,4.0,0.0,8.0,11.0,18.0,25.0,2.0,4.0,34.0,18.0,1.0,9.0,25.0,1.0,3.0,0.629,0.09,1.774,2.0,0.0,2.0,49.79,29.0,31.178,9.0,0.244,1.118,1.118,1.619,1.7,1.693,30.863,2.533,2.219,7.97,0.97,16.236,11.072,2.426,2.336,2.238,31.0,10.0,20.0,61.0,1.0,6.0,1.0,8.0,2.0,15.0,9.0,30.0,40.0,2.0,4.0,24.0,38.0,6.0,11.0,31.0,7.0,3.0,0.704,0.86,0.968,0.0,0.0,1.0,55.29,41.0,37.188,9.0,0.462,1.373,1.373,1.622,1.492,1.467,0
TOR,2015,TOR,2015021022,11,18,1,20160312,Team Level,all,0.5777,0.6471,0.6286,3600.0,30.827,1.718,2.133,7.627,1.038,17.569,13.915,1.695,1.697,1.674,29.0,15.0,22.0,66.0,0.0,4.0,0.0,9.0,0.0,16.0,15.0,29.0,44.0,3.0,6.0,34.0,26.0,6.0,10.0,38.0,5.0,1.0,0.894,0.58,0.244,0.0,0.0,0.0,62.333,44.0,42.746,8.0,0.456,0.446,0.446,1.728,1.714,1.692,18.361,1.256,1.163,4.042,0.569,10.503,8.467,1.249,1.274,1.267,17.0,9.0,10.0,36.0,4.0,1.0,1.0,4.0,0.0,9.0,8.0,13.0,22.0,5.0,10.0,26.0,38.0,7.0,10.0,23.0,2.0,1.0,0.783,0.219,0.254,1.0,2.0,1.0,38.07,26.0,26.721,6.0,0.244,0.084,0.084,1.416,1.433,1.431,0
